Gender,GivenName,City,ZipCode,EmailAddress,Username,Birthday,Kilograms,Centimeters,Latitude,Longitude
male,Hardouin,MARSEILLE,13015,HardouinHoude@teleworm.us,Uponeemould,8/31/1955,107.6,186,43.289559,5.408336
male,Gabriel,MASSY,91300,GabrielRuest@cuvox.de,Camease,6/21/1945,71.6,167,48.630068,2.366116
male,Francis,VILLIERS-SUR-MARNE,94350,FrancisDesaulniers@dayrep.com,Sheary,11/22/1980,109.9,187,48.810502,2.479594
female,Harriette,VILLEFRANCHE-SUR-SAÔNE,69400,HarrietteTessier@dayrep.com,Turuily,9/8/1958,102.8,155,45.963446,4.607888
male,Philippe,VILLENEUVE-D'ASCQ,59650,PhilippeCharlesbois@fleckens.hu,Toneve,10/17/1995,56.5,174,50.691784,3.153086
female,Mireille,SÈTE,34200,MireilleCliche@dayrep.com,Braten91,3/25/1991,82.2,169,43.329449,3.693445
male,Eugène,PARIS,75016,EugeneBussiere@armyspy.com,Entinver,5/24/1984,87.9,187,48.95733,2.306861
male,Prewitt,"LES ABYMES",97142,PrewittSoucy@superrito.com,Oppostis,10/16/1990,102.5,170,47.08477,1.768623
female,Melusina,MEYZIEU,69330,MelusinaProulx@teleworm.us,Himetch,4/6/1940,50.6,158,45.840192,5.029371
female,Frédérique,SARREGUEMINES,57200,FrederiqueChampagne@rhyta.com,Himighar1978,3/21/1978,81.6,162,49.035529,7.194715
male,Pinabel,CARPENTRAS,84200,PinabelLizotte@einrot.com,Werater,10/19/1969,101.5,170,44.009327,4.98952
male,Arnou,GUÉRET,23000,ArnouSabourin@teleworm.us,Geolas,5/29/1966,109.2,180,46.162082,1.782768
female,Flordelis,MAISONS-ALFORT,64700,FlordelisDaoust@rhyta.com,Scrity,10/14/1984,99.2,172,43.416194,-1.692233
female,Amélie,LIVRY-GARGAN,93190,AmelieDupuy@superrito.com,Galeafeend,4/5/1969,81.8,166,48.86068,2.573065
male,Medoro,BRON,69500,MedoroLegault@rhyta.com,Airsed64,5/9/1964,65.8,171,45.826612,4.82991
female,Sophie,BORDEAUX,33100,SophieHoule@teleworm.us,Thaskilly,8/9/1950,74.7,153,44.938669,-0.640159
male,Christien,REZÉ,44400,ChristienQuirion@fleckens.hu,Ounted,5/3/1995,98.2,181,47.189659,-1.496674
male,Noël,ÉLANCOURT,78990,NoelVaillancourt@gustr.com,Hapilesedis,7/20/1986,64.2,184,48.745635,1.996099
male,Hugh,MONT-SAINT-AIGNAN,76130,HughDesaulniers@fleckens.hu,Mandery,9/18/1946,92.2,183,49.367197,1.029375
female,Honore,MELUN,77000,HonoreMigneault@fleckens.hu,Altoot,10/30/1954,55.9,154,48.543102,2.723287
female,Felicienne,VILLEFRANCHE-SUR-SAÔNE,69400,FelicienneVerreau@jourrapide.com,Thereld1998,1/8/1998,50.1,175,45.900545,4.661609
female,Dominique,SAINT-GERMAIN-EN-LAYE,78100,DominiqueBrasseur@dayrep.com,Beepargang,5/14/1968,53.6,172,48.94442,2.125818
female,Lirienne,OULLINS,69600,LirienneArnoux@rhyta.com,Afearighted,11/13/1977,97.8,162,45.713911,4.707974
male,Christien,"LE CREUSOT",71200,ChristienLambert@rhyta.com,Therace,9/5/1976,93.1,173,46.771039,4.382399
